Symbol,Entry,Exit,Return,Profit,Reason,Date
BSE.NS,2909.800048828125,2908.7999999999997,-0.03,-3.0,TRAIL_STOP,2025-06-11
BSE.NS,2933.199951171875,2908.7999999999997,-0.83,-69.0,TRAIL_STOP,2025-06-11
JMFINANCIL.NS,150.68223571777344,144.6549462890625,-4.0,-333.0,TRAIL_STOP,2025-06-11
RPOWER.NS,71.23999786376953,73.43039794921874,3.07,256.0,TRAIL_STOP,2025-06-11
LAURUSLABS.NS,675.892333984375,653.221026609955,-3.35,-278.0,TRAIL_STOP,2025-06-13
SCI.NS,217.73973083496094,223.4742594763207,2.63,217.0,TRAIL_STOP,2025-06-16
DRREDDY.NS,1354.1119384765625,1303.8588282080275,-3.71,-308.0,TRAIL_STOP,2025-06-17
AGARWALEYE.NS,384.95001220703125,396.81600585937497,3.08,255.0,TRAIL_STOP,2025-06-19
MUTHOOTFIN.NS,2645.699951171875,2563.10390625,-3.12,-256.0,TRAIL_STOP,2025-06-24
ZEEL.NS,146.58349609375,141.65101033636438,-3.36,-279.0,TRAIL_STOP,2025-06-24
MCX.NS,1610.8477783203125,1684.7017855552647,4.58,380.0,TRAIL_STOP,2025-06-25
USHAMART.NS,329.4153747558594,332.3816606046293,0.9,73.0,TRAIL_STOP,2025-06-26
HYUNDAI.NS,2105.507080078125,2106.002483470156,0.02,2.0,TRAIL_STOP,2025-06-27
NUVAMA.NS,1579.82373046875,1557.074205269116,-1.44,-119.0,TRAIL_STOP,2025-07-01
RBLBANK.NS,259.077880859375,255.2956460516287,-1.46,-120.0,TRAIL_STOP,2025-07-02
USHAMART.NS,363.6912536621094,359.28647550743835,-1.21,-100.0,TRAIL_STOP,2025-07-03
MCX.NS,1761.0740966796875,1770.1395263671875,0.51,43.0,TIME_EXIT,2025-07-04
JMFINANCIL.NS,165.28530883789062,165.41404865378533,0.08,6.0,TRAIL_STOP,2025-07-08
JPPOWER.NS,22.649999618530273,22.886400146484373,1.04,86.0,TRAIL_STOP,2025-07-08
MGL.NS,1521.7320556640625,1473.7439035977081,-3.15,-259.0,TRAIL_STOP,2025-07-09
CESC.NS,171.3356475830078,172.6417999267578,0.76,62.0,TIME_EXIT,2025-07-10
SYRMA.NS,648.44970703125,653.9894391879748,0.85,70.0,TRAIL_STOP,2025-07-10
SONATSOFTW.NS,432.4056091308594,418.12874528219436,-3.3,-272.0,TRAIL_STOP,2025-07-11
ACMESOLAR.NS,287.0799865722656,291.78240234375,1.64,134.0,TRAIL_STOP,2025-07-11
ACMESOLAR.NS,295.3900146484375,291.379189453125,-1.36,-111.0,TRAIL_STOP,2025-07-14
JPPOWER.NS,27.229999542236328,26.140799560546874,-4.0,-326.0,TRAIL_STOP,2025-07-15
SWANCORP.NS,502.14715576171875,505.5284803737256,0.67,54.0,TRAIL_STOP,2025-07-16
SWANCORP.NS,521.8431396484375,502.9849787179638,-3.61,-292.0,TRAIL_STOP,2025-07-21
SYRMA.NS,712.9303588867188,698.3073979471276,-2.05,-166.0,TRAIL_STOP,2025-07-21
ITCHOTELS.NS,254.75,251.15519531249998,-1.41,-114.0,TRAIL_STOP,2025-07-21
