f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24_fundamental,actual_return
-0.05823353260533793,-0.18596979371424036,0.7227866712292053,-0.017314893714654,-0.08048729950299484,2.8063570369509074,-0.021220417730956904,-0.026096764852413912,-0.02480902116048727,-0.01841570894638499,-0.02959855709137042,-0.032033807506607594,-0.023534516000251648,-0.03283373305671629,-0.029500172434061014,-0.020981508254485977,-0.026459252907312953,-0.023167680243015132,-0.026746534238428335,-0.03139408261534608,-0.03233901960970614,-0.03217379264799213,-0.028404429241008496,0.0,0.06000822918570292
0.08540380460273182,-0.8052184052785766,1.0466317005763193,0.05719224368722201,0.02212822709996444,2.879997608573361,0.04520512728333599,0.05545175173238924,0.036421126994207395,0.05882305866608909,0.03725109912506025,0.05050985083975801,0.05523669140034762,0.04505334548906459,0.058707413174403,0.049580056169749746,0.04762150929638668,0.0563817420371687,0.050883372369637116,0.06277465465914249,0.050603093096374265,0.06058818466564496,0.049562368061449084,0.0,0.08067531327798205
-0.06283709340841222,-0.36307792694790725,-0.7439206672843476,-0.01033328016313298,-0.06174395616860701,0.8285337341185612,-0.02712934356983373,-0.02722195037796192,-0.03692857191947635,-0.025645999760457557,-0.034377011512867574,-0.023493197622088006,-0.027017788464973574,-0.022521284709743808,-0.03197497068855065,-0.03768852275968731,-0.023545196031935504,-0.029736021208947885,-0.03350111502149973,-0.03748950425353788,-0.026107140258389294,-0.032888940264257975,-0.03730938005846577,0.0,0.05047306403800156
0.019833168574736892,-0.8608326754583692,0.4809597928539211,0.022325475770667666,-0.025316167858696538,4.72092764824461,0.017459000642657447,0.01713354231523191,0.016049622973946957,0.017939854615529133,0.011160991687045575,0.010958139801545497,0.013027549081232609,0.017623910670797834,0.013584322588236853,0.01302638172735414,0.013651232204872845,0.010837813913374978,0.010618728822987158,0.013766767839669156,0.015675287717821108,0.010145553122559893,0.010355707321845951,0.0,0.010178937715482617
-0.02919031531390825,-0.7939013324104981,-0.10056036608991459,-0.008462271616899473,-0.0705321601936064,3.0103660248683926,-0.015374898294605813,-0.019290235898953283,-0.019180051811210557,-0.012256914924503755,-0.016072499655805674,-0.014768950925641068,-0.018913823520136836,-0.01770124064684767,-0.015775435178936557,-0.019362846647511308,-0.01875441138271403,-0.01135002784438539,-0.01808249948220663,-0.017990650542263793,-0.019125978127189833,-0.015542848422142454,-0.01766178157111149,0.0,0.024679490771593038
0.08329915387227155,0.5062316857114783,0.43948619671647204,0.018053038690806936,0.34019407066267493,3.2671058184501724,0.035713965304215806,0.0497892210736938,0.05730747962956401,0.038750081570090855,0.05268373270575255,0.05620889880747292,0.043325727724299795,0.03248995054901208,0.043178520914219046,0.05197777783645949,0.046270319610470526,0.03396988556121014,0.05545385542519771,0.047870403706223794,0.0455797330547414,0.03289838483436906,0.03460232335685562,0.0,0.20040702700592816
-0.015065263126649476,-2.3284095993508402,0.5124823161592884,-0.01126710994571201,0.008445431477118463,3.410786152921862,-0.01200664053488099,-0.009118523554719154,-0.01102112059672962,-0.012174952593271544,-0.011587363578825016,-0.012623823857270908,-0.010267295460030874,-0.010946444926185371,-0.009278691050682585,-0.008198673840286292,-0.007925967167640147,-0.0122863706281041,-0.009263202717288598,-0.01048408614588191,-0.009098454144980948,-0.010370803612925859,-0.012844643476673835,0.0,0.07218741130901729
-0.012439181356895007,-2.88347933969937,-0.12033110823200244,-0.00984877779970515,-0.012574868917828183,4.308486137165369,-0.011303146887846532,-0.007720497608801331,-0.0065752335170663374,-0.008750105685617664,-0.0068332686981540615,-0.008034575552147039,-0.008944209277771335,-0.007355924357159386,-0.008708562041493138,-0.007510679498042723,-0.007642678790709809,-0.012106851329372842,-0.010967037780789854,-0.008242769870949199,-0.006875268192912652,-0.0071100948067667575,-0.01114333163734461,0.0,0.008072070676310439
0.0013168089202415469,-0.8491064346284478,0.8463829517371136,0.006542352098908067,-0.02054927631809833,2.762118465507111,0.0024091035830738758,0.001894136669796663,0.001649446172451618,0.0020805212173294913,0.0027413019493734325,0.0015719441637600381,0.001853520870086157,0.002200498819428222,0.002700720998460387,0.002391720784990543,0.002519676228257819,0.0022403679938696303,0.002812908891506125,0.0019643804325484254,0.0024498263960983017,0.002196304403543247,0.002799953981076629,0.0,0.015719505438088754
0.3516903799944463,-0.5136600016050623,2.1528643417405,0.16194357561359254,0.22943977525918682,2.5059264525814227,0.1200723370440656,0.14687590184197094,0.19403733542317653,0.14173021518830173,0.12509229146589274,0.14980941149821764,0.15875461880472205,0.16968721607519088,0.15614509182155112,0.15544386924191275,0.16283688373638758,0.17102312348670318,0.18209615955962827,0.17308876619812286,0.1486783550163583,0.12629981691766884,0.15168536404733962,0.0,0.03839027930086569
0.14655145552653615,-0.14493921368976434,0.9680596603737958,0.06822565772971374,0.2995462367392099,2.6960405836586694,0.09479119551114079,0.09063771836628368,0.08249339169007432,0.07958461156548596,0.07849523819351123,0.09208570285501447,0.10575741005676795,0.08600966026977247,0.09262695012356298,0.0692838724750126,0.09270265724928373,0.0974981159952982,0.10339755371410442,0.07927287193222446,0.0702902449367432,0.09478804687961598,0.08756249565773158,0.0,0.018811631353318425
0.01573316135319077,0.21054147121505523,0.010376618297367468,0.0031580146266471636,0.07082503655705527,3.586834455778103,0.005572850276151056,0.006400980336931493,0.006310943101802102,0.009177455443681908,0.00860746301813418,0.006827817157124661,0.007157700686270487,0.008846628206130734,0.00834044089191316,0.006070116588468146,0.006986512435002044,0.007866540869220319,0.007404836413384694,0.006402617601265307,0.006291059677130751,0.005544181617906746,0.009711592803296658,0.0,0.06388483810111856
